,mean_displacement,SEM,STD,data_set,location,time
0,0.0,0.0,0.0,190305,Bone Front,0.0
1,-3.75494071146245,0.04593093300908116,2.1128229184177334,190305,Bone Front,0.16666666666666666
2,-4.268774703557313,0.04897466096527964,2.252834404402863,190305,Bone Front,0.3333333333333333
3,-3.0335968379446645,0.06456889153287343,2.9701690105121767,190305,Bone Front,0.5
4,-1.0869565217391304,0.07362152435032364,3.386590120114888,190305,Bone Front,0.6666666666666666
5,1.2055335968379446,0.08929527894321276,4.107582831387787,190305,Bone Front,0.8333333333333334
6,3.1324110671936762,0.0963668009977596,4.4328728458969415,190305,Bone Front,1.0
7,5.1185770750988135,0.10615527977412917,4.8831428696099435,190305,Bone Front,1.1666666666666667
8,6.630434782608694,0.11286933928675402,5.191989607190685,190305,Bone Front,1.3333333333333333
9,8.132411067193676,0.12072769498996608,5.553473969538441,190305,Bone Front,1.5
10,9.14141414141414,0.12964007517882062,5.833803383046927,190305,Bone Front,1.6666666666666667
11,10.398989898989898,0.13987520636203793,6.294384286291707,190305,Bone Front,1.8333333333333333
12,12.210743801652892,0.15891275183129674,6.992161080577057,190305,Bone Front,2.0
13,13.140495867768587,0.1639272896322612,7.212800743819492,190305,Bone Front,2.1666666666666665
14,14.106765327695566,0.17774253708681964,7.642929094733244,190305,Bone Front,2.3333333333333335
15,15.401691331923892,0.18616337559318613,8.005025150507004,190305,Bone Front,2.5
16,16.753246753246756,0.19415736420465265,8.15460929659541,190305,Bone Front,2.6666666666666665
17,18.354978354978357,0.19427052736268668,8.159362149232841,190305,Bone Front,2.8333333333333335
18,19.972943722943718,0.19735174724941207,8.28877338447531,190305,Bone Front,3.0
19,21.41906873614191,0.21307603136247036,8.736117285861283,190305,Bone Front,3.1666666666666665
20,22.92128603104213,0.2142678057912464,8.784980037441102,190305,Bone Front,3.3333333333333335
21,24.653409090909086,0.20673538669600092,8.269415467840037,190305,Bone Front,3.5
22,25.931818181818176,0.20987685783464896,8.39507431338596,190305,Bone Front,3.6666666666666665
23,27.170454545454547,0.20765063330354566,8.306025332141829,190305,Bone Front,3.8333333333333335
24,28.56818181818181,0.210722696338259,8.42890785353036,190305,Bone Front,4.0
25,29.21990171990171,0.2330547076638537,8.623024183562588,190305,Bone Front,4.166666666666667
26,30.184275184275183,0.2367072154666443,8.758166972265839,190305,Bone Front,4.333333333333333
27,31.56565656565657,0.24519731085349264,8.827103190725735,190305,Bone Front,4.5
28,32.45454545454546,0.2586237599038529,9.051831596634852,190305,Bone Front,4.666666666666667
29,32.97402597402596,0.25736095503723433,9.0076334263032,190305,Bone Front,4.833333333333333
30,33.435064935064936,0.25392740189525304,8.887459066333854,190305,Bone Front,5.0
31,33.16844919786096,0.2543619633337909,8.648306753348889,190305,Bone Front,5.166666666666667
32,33.36229946524063,0.2529986555096265,8.6019542873273,190305,Bone Front,5.333333333333333
33,33.85674931129476,0.2645184833563457,8.729109950759407,190305,Bone Front,5.5
34,33.47301136363636,0.2647397427472907,8.471671767913302,190305,Bone Front,5.666666666666667
35,33.68768328445747,0.2810072984289937,8.711226251298807,190305,Bone Front,5.833333333333333
36,34.43181818181818,0.3144740435772103,8.805273220161887,190305,Bone Front,6.0
0,0.0,0.0,0.0,190314,Bone Front,0.0
1,2.6429000200093378,0.042519254256817504,1.9984049500704228,190314,Bone Front,0.16666666666666666
2,5.194090575601946,0.043955845778629384,2.0659247515955808,190314,Bone Front,0.3333333333333333
3,8.11628760088041,0.05070420113935421,2.383097453549648,190314,Bone Front,0.5
4,10.609117588207825,0.05555621637475625,2.611142169613544,190314,Bone Front,0.6666666666666666
5,12.960849120894101,0.058863566801375874,2.7077240728632903,190314,Bone Front,0.8333333333333334
6,15.58453727681614,0.06280969542161853,2.8892459893944515,190314,Bone Front,1.0
7,17.28397165053837,0.0682455499533455,3.139295297853893,190314,Bone Front,1.1666666666666667
8,18.80025896142837,0.07321917489688919,3.3680820452569025,190314,Bone Front,1.3333333333333333
9,20.278213166144194,0.07209995667556235,3.3165980070758683,190314,Bone Front,1.5
10,21.871166689382573,0.07787255121555292,3.5821373559154344,190314,Bone Front,1.6666666666666667
11,23.660044977511237,0.08134921143798006,3.742063726147083,190314,Bone Front,1.8333333333333333
12,24.997444459588383,0.08803770145980097,4.0497342671508445,190314,Bone Front,2.0
13,26.394473217936483,0.08422400532654828,3.8743042450212206,190314,Bone Front,2.1666666666666665
14,28.19139672587948,0.08672488533038544,3.9026198398673446,190314,Bone Front,2.3333333333333335
15,29.69348659003832,0.0889848592646526,4.004318666909366,190314,Bone Front,2.5
16,30.86032741205155,0.09680742691325747,4.356334211096587,190314,Bone Front,2.6666666666666665
17,31.94009056078021,0.106147048324869,4.776617174619106,190314,Bone Front,2.8333333333333335
18,33.01114594218043,0.10590919724225197,4.7659138759013375,190314,Bone Front,3.0
19,34.08200341977771,0.10895581887785093,4.79405603062544,190314,Bone Front,3.1666666666666665
20,35.18185380450273,0.10690767363203144,4.703937639809382,190314,Bone Front,3.3333333333333335
21,36.50879880307779,0.11763848538745915,5.176093357048202,190314,Bone Front,3.5
22,37.84537435299264,0.11733562510747245,5.045431879621316,190314,Bone Front,3.6666666666666665
23,38.8341109572064,0.1174698040542218,5.051201574331538,190314,Bone Front,3.8333333333333335
24,39.85474229058833,0.11663113200359256,5.0151386761544785,190314,Bone Front,4.0
25,40.579750709061045,0.12653525278019842,5.314480616768334,190314,Bone Front,4.166666666666667
26,41.284146887595156,0.1282801775821025,5.387767458448305,190314,Bone Front,4.333333333333333
