,Video,Location,Time1,Time2,X0,Y0,Velocity
0,1,Bone Front,0,24,398.18181818181813,40.0,4.220256273797709
1,1,Bone Front,0,24,413.4090909090909,58.63636363636363,4.815822750094793
2,1,Bone Front,0,24,399.09090909090907,102.49999999999999,5.138826842997733
3,1,Bone Front,0,24,401.59090909090907,115.22727272727272,7.274724512690304
4,1,Bone Front,0,24,379.5454545454545,120.22727272727272,4.959156528188476
5,1,Bone Front,0,24,394.77272727272725,127.49999999999999,5.586703887855388
6,1,Bone Front,0,24,404.5454545454545,162.95454545454544,7.634807741927648
7,1,Bone Front,0,24,385.9090909090909,177.72727272727272,9.09090909090909
8,1,Bone Front,0,24,384.77272727272725,194.99999999999997,8.67980253850501
9,1,Bone Front,0,24,371.59090909090907,202.27272727272725,5.8525485371900405
10,1,Bone Front,0,24,394.77272727272725,234.77272727272725,10.473210857285219
11,1,Bone Front,0,24,368.6363636363636,246.36363636363635,8.943586106144254
12,1,Bone Front,0,24,394.3181818181818,239.09090909090907,10.802778616006451
13,1,Bone Front,0,24,378.4090909090909,276.59090909090907,8.492370177969716
14,1,Bone Front,0,24,406.3636363636363,302.0454545454545,8.978890820803025
15,1,Bone Front,0,24,417.95454545454544,330.68181818181813,7.159992728192438
16,1,Bone Front,0,24,401.3636363636363,356.1363636363636,10.272783839345465
17,1,Bone Front,0,24,385.68181818181813,366.8181818181818,9.159013365338335
18,1,Bone Front,0,24,404.77272727272725,387.95454545454544,8.202310196644813
19,1,Bone Front,0,24,371.3636363636363,400.2272727272727,11.749142750511664
20,1,Bone Front,0,24,423.4090909090909,424.77272727272725,7.315437444199765
21,1,Bone Front,0,24,402.95454545454544,436.3636363636363,10.22237887962864
22,1,Bone Front,0,24,393.8636363636363,448.4090909090909,13.35239361647402
23,1,Bone Front,0,24,382.27272727272725,489.31818181818176,14.535685639996256
24,1,Bone Front,0,24,393.18181818181813,510.2272727272727,12.268649364596127
25,1,Bone Front,0,24,403.18181818181813,523.4090909090909,13.443834995274424
26,1,Bone Front,0,24,373.4090909090909,555.2272727272726,14.721282802642298
27,1,Bone Front,0,24,356.3636363636363,564.5454545454545,12.310678904213392
28,1,Bone Front,0,24,374.3181818181818,580.9090909090909,11.595921376155646
29,1,Bone Front,0,24,368.18181818181813,600.0,13.392950609669917
30,1,Bone Front,0,24,334.09090909090907,639.090909090909,12.005320144704992
31,1,Bone Front,0,24,306.59090909090907,584.090909090909,11.865209099862971
32,1,Bone Front,0,24,378.8636363636363,120.68181818181817,6.064392756421061
33,1,Bone Front,0,24,417.27272727272725,39.54545454545454,13.256304051561203
34,1,Bone Front,0,24,417.49999999999994,187.27272727272725,8.875283722621196
35,1,Bone Front,0,24,426.81818181818176,323.18181818181813,9.63717433339417
36,1,Bone Front,0,24,429.31818181818176,388.6363636363636,8.75903459197822
37,1,Bone Front,0,24,417.0454545454545,414.5454545454545,9.72404630008933
38,1,Bone Front,0,24,379.3181818181818,517.5,13.477291890220929
39,1,Bone Front,0,24,367.49999999999994,621.590909090909,16.219575778353516
40,1,In Bone,0,24,222.49999999999997,54.54545454545454,11.649944356622338
41,1,In Bone,0,24,232.72727272727272,167.72727272727272,7.260287656801494
42,1,In Bone,0,24,230.45454545454544,245.22727272727272,6.934844719313601
43,1,In Bone,0,24,220.90909090909088,251.13636363636363,6.871242399118082
44,1,In Bone,0,24,245.45454545454544,321.1363636363636,6.022191228289138
45,1,In Bone,0,24,225.22727272727272,391.3636363636363,6.659129692719823
46,1,In Bone,0,24,242.27272727272725,455.9090909090909,14.89026666390881
47,1,In Bone,0,24,224.77272727272725,571.1363636363636,12.549102936231426
48,1,In Bone,0,24,244.77272727272725,639.3181818181818,13.570151752837596
49,1,In Bone,0,24,187.72727272727272,648.1818181818181,18.58154354004474
50,1,In Bone,0,24,182.04545454545453,72.5,6.03878647981201
51,1,In Bone,0,24,189.77272727272725,167.95454545454544,6.757303976053866
52,1,In Bone,0,24,209.09090909090907,311.1363636363636,5.9832000510796615
53,1,Further In Bone,0,24,52.272727272727266,44.31818181818181,7.893434084914661
54,1,Further In Bone,0,24,42.95454545454545,62.04545454545454,5.608907190891381
55,1,Further In Bone,0,24,48.86363636363636,84.09090909090908,5.035065573612573
56,1,Further In Bone,0,24,54.54545454545454,94.77272727272727,3.673900718256184
57,1,Further In Bone,0,24,48.86363636363636,138.4090909090909,4.602623443426962
58,1,Further In Bone,0,24,47.72727272727273,156.59090909090907,7.648748749829381
59,1,Further In Bone,0,24,39.54545454545454,179.09090909090907,5.398624327372592
60,1,Further In Bone,0,24,60.68181818181818,195.68181818181816,6.464301206058132
61,1,Further In Bone,0,24,47.272727272727266,228.18181818181816,4.186462959042874
62,1,Further In Bone,0,24,38.63636363636363,247.49999999999997,6.520242241228275
63,1,Further In Bone,0,24,26.818181818181817,267.27272727272725,7.7450080563798265
64,1,Further In Bone,0,24,52.95454545454545,280.2272727272727,6.912463665410461
65,1,Further In Bone,0,24,60.22727272727272,292.95454545454544,6.184835911156728
66,1,Further In Bone,0,24,56.81818181818181,327.0454545454545,6.681634583130039
67,1,Further In Bone,0,24,32.95454545454545,335.9090909090909,4.483959012942923
68,1,Further In Bone,0,24,40.22727272727273,413.4090909090909,9.139960000002892
69,1,Further In Bone,0,24,60.90909090909091,427.27272727272725,9.988694539079734
70,1,Further In Bone,0,24,53.18181818181818,441.59090909090907,7.893434084914661
71,1,Further In Bone,0,24,55.68181818181818,463.6363636363636,10.46750678753577
72,1,Further In Bone,0,24,27.499999999999996,488.8636363636363,8.799483749413845
73,1,Further In Bone,0,24,42.95454545454545,493.18181818181813,12.455110513060973
74,1,Further In Bone,0,24,32.72727272727273,585.2272727272726,10.706270368648998
75,1,Further In Bone,0,24,30.68181818181818,609.7727272727273,8.92244476929709
76,2,Bone Front,0,24,572.2962382445141,86.40282131661442,10.07561081313831
77,2,Bone Front,0,24,551.1363636363636,59.757053291536046,12.110345706488685
78,2,Bone Front,0,24,620.6896551724138,98.74608150470219,10.288965290752353
79,2,Bone Front,0,24,543.4952978056426,78.56583072100314,10.929722320518302
80,2,Bone Front,0,24,573.0799373040752,119.90595611285266,10.971786833855798
81,2,Bone Front,0,24,577.1943573667711,145.37617554858934,10.337932670060523
82,2,Bone Front,0,24,570.5329153605015,164.576802507837,9.064829311971858
83,2,Bone Front,0,24,612.0689655172414,169.67084639498432,9.061652756806467
84,2,Bone Front,0,24,549.7648902821317,221.3949843260188,8.56820909313083
85,2,Bone Front,0,24,593.2601880877743,275.2742946708464,9.603311859837358
86,2,Bone Front,0,24,578.3699059561128,301.3322884012539,9.598813938290705
87,2,Bone Front,0,24,623.8244514106583,312.5,9.730382086080734
88,2,Bone Front,0,24,607.5626959247649,362.4608150470219,9.862749330652331
89,2,Bone Front,0,24,654.3887147335423,377.3510971786834,12.770195970385522
90,2,Bone Front,0,24,589.7335423197492,389.69435736677116,9.449689255373576
91,2,Bone Front,0,24,693.769592476489,324.6473354231975,11.179413691064848
92,2,Bone Front,0,24,753.5266457680251,388.91065830721004,9.891411700731517
93,2,Bone Front,0,24,643.6128526645767,439.26332288401255,11.570555913008844
94,2,Bone Front,0,24,682.6018808777429,434.56112852664575,10.786988413766283
95,2,Bone Front,0,24,605.0156739811912,435.73667711598745,11.1908891641809
96,2,Bone Front,0,24,610.5015673981192,501.37147335423197,12.724744093530942
97,2,Bone Front,0,24,729.2319749216301,478.05642633228837,11.765685883095918
98,2,Bone Front,0,24,566.6144200626959,493.3385579937304,12.95364995378239
99,2,Bone Front,0,24,595.2194357366772,426.3322884012539,11.440332902769043
100,2,Bone Front,0,24,733.5423197492163,480.9952978056426,10.565073770632342
101,2,Bone Front,0,24,564.8510971786834,551.5282131661442,12.886801543352309
102,2,Bone Front,0,24,613.4404388714734,508.03291536050153,13.033507509917465
103,2,Bone Front,0,24,554.4670846394985,455.3291536050157,13.089072085243174
104,2,Bone Front,0,24,597.1786833855799,38.4012539184953,11.66585556800015
105,2,Bone Front,0,24,602.8605015673982,103.44827586206897,9.46148765431874
106,2,Bone Front,0,24,591.692789968652,19.396551724137932,10.346631754958874
107,2,Bone Front,0,24,636.3636363636364,171.0423197492163,8.713835140440596
108,2,Bone Front,0,24,637.7351097178683,145.18025078369905,9.520638326951733
109,2,Bone Front,0,24,608.5423197492163,118.14263322884013,8.399952983335515
110,2,Bone Front,0,24,633.0329153605015,169.86677115987462,8.87911601749852
111,2,Bone Front,0,24,570.141065830721,230.2115987460815,11.41640088245167
112,2,Bone Front,0,24,603.0564263322884,233.73824451410658,10.46926414894068
113,2,Bone Front,0,24,662.0297805642633,306.23040752351096,13.06981197504539
114,2,Bone Front,0,24,630.6818181818181,406.7398119122257,11.19913993935192
115,2,Bone Front,0,24,613.0485893416928,381.0736677115987,10.566549712234362
116,2,Bone Front,0,24,633.2288401253918,457.2884012539185,11.345570745535728
117,2,Bone Front,0,24,591.1050156739811,525.2742946708464,11.657626412179864
118,2,Bone Front,0,24,542.7115987460814,519.3965517241379,14.706923832494459
119,2,In Bone,0,24,389.69435736677116,15.282131661442007,10.542340933596632
120,2,In Bone,0,24,373.0407523510972,38.793103448275865,19.89504805973491
121,2,In Bone,0,24,375.0,72.2962382445141,13.472053820018678
122,2,In Bone,0,24,375.19592476489026,87.38244514106583,11.363636363636363
123,2,In Bone,0,24,402.82131661442,98.94200626959247,10.74040368764651
124,2,In Bone,0,24,395.7680250783699,115.0078369905956,11.661330250932888
125,2,In Bone,0,24,370.6896551724138,99.13793103448276,10.79721452465114
126,2,In Bone,0,24,385.1880877742947,162.61755485893417,7.273005953475934
127,2,In Bone,0,24,396.15987460815046,187.89184952978056,4.962594841977274
128,2,In Bone,0,24,386.9514106583072,196.90438871473353,6.90704269610942
129,2,In Bone,0,24,389.69435736677116,212.97021943573668,6.518916290198727
