"Location","X0.mean.mean","V.mean.mean","X0.mean.sd","V.mean.sd"
"Bone Front",-8.3104413539193e-15,13.1688587875593,38.2758666014432,4.09482749391169
"In Bone",-207.836868944932,12.5652263151279,23.9597332062529,4.28776763574349
"Further In Bone",-400.008300959091,9.07670955782411,37.3260243512812,3.927590208625
