"eO",12960
"eM","1944/5"
"η","18/5"
"γ","18/5"
"τ",10
"D1",15
"α","1/500000"
"ρdA",0.0067
"ρdB",0.0077
"ρh","1/1000"
"aρ",4
"a",4
"L",1000
"tmax",4
"Nx",200
"T",100
