,index,time,area,cm_y,cm_x
0,0,13.5,0.6435997271994544,1.0960184330166918,2.005576831490213
1,1,13.5,0.5196174592349184,1.1104959248547954,2.0292913853706733
2,2,13.5,0.4882019964039928,1.124369125813666,2.0303309767348043
3,3,13.5,0.498740777481555,1.1150525806697302,2.0154821918569037
4,4,13.5,0.4873730547461095,1.1017521869694997,1.9812575959604726
5,5,13.5,0.3399807799615599,1.1341063367981703,2.0177582112627914
6,6,13.5,0.3063227726455453,1.1483312284661762,2.0279585107957026
7,7,13.5,0.45998077996155995,1.1212388717624344,2.008038359026942
8,0,14.0,0.8546314092628186,1.095649832719972,2.0222142399364293
9,1,14.0,0.997257114514229,1.0826084653164039,2.0049784578204832
10,2,14.0,0.7878733957467915,1.0989522962206408,1.991308722709878
11,3,14.0,0.6806206212412425,1.111760884174016,2.060015950259097
12,4,14.0,0.7045278690557382,1.1113139169287123,2.059607080077745
13,5,14.0,0.6953388306776613,1.1123329315323076,2.0350913380266222
14,6,14.0,1.1587711575423152,1.0544586750779659,1.9811796201455645
15,7,14.0,0.7822921445842892,1.1011822702730714,2.008417082132054
16,0,14.5,1.8239525079050158,1.0718238195102332,2.00151530826769
17,1,14.5,1.874747349494699,1.025243722424292,1.920786051645323
18,2,14.5,1.7150468100936203,1.0316664599767624,1.9310006832679492
19,0,15.0,2.4051094302188605,1.022494232805596,1.9481255987679271
20,1,15.0,2.370495380990762,1.0142369052865823,1.9422252568065386
21,2,15.0,1.718494636989274,1.0546529766811228,1.9183427556987014
22,3,15.0,1.6717161634323268,1.0684793615816246,1.9827500292708178
23,4,15.0,1.7833207266414532,1.037272464529277,1.9528944164743691
24,5,15.0,1.9071064542129084,1.089112275076667,1.9475992642120956
25,6,15.0,2.0406782813565627,1.0551554692341962,1.914242129722209
26,0,15.5,1.720702461404923,1.0116998650254736,1.8155078461846763
27,1,15.5,1.260512741025482,1.0520839344228365,1.8998864397604647
28,2,15.5,2.1531558063116125,0.9470523438139014,1.912875924663888
